Crop,Symptoms,Disease,Severity
Sugarcane,"Yellow leaves, Stunted growth",Red Rot,Critical
Rice,Wilting stems,Bacterial Blight,High
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,Medium
Grapes,White powder on leaves,Powdery Mildew,Low
Tomato,"Yellow leaves, Leaf curl",Leaf Curl,Low
Banana,"Premature fruit drop, Brown spots on leaves, Black lesions",Black Sigatoka,Medium
Sugarcane,Rusty orange pustules,Rust,Low
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Low
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Low
Sugarcane,Yellow leaves,Red Rot,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Medium
Maize,Rusty orange pustules,Common Rust,Critical
Cotton,Stunted growth,Wilt,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules, Black lesions",Rust,Low
Tomato,Water-soaked patches,Late Blight,High
Sugarcane,"Yellow leaves, Stunted growth, Wilting stems, Premature fruit drop",Red Rot,Critical
Soybean,"Yellow leaves, White powder on leaves",Rust,Low
Rice,Brown spots on leaves,Brown Spot,Critical
Cotton,"Premature fruit drop, Black lesions, Water-soaked patches, Brown spots on leaves",Bacterial Blight,Medium
Banana,Black lesions,Black Sigatoka,High
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Critical
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,Medium
Cotton,Black lesions,Bacterial Blight,Medium
Rice,"Brown spots on leaves, Black lesions, Stunted growth",Blast,Critical
Rice,"Yellow leaves, Brown spots on leaves",Brown Spot,Medium
Banana,"Root rot, Wilting stems",Panama Disease,Critical
Cotton,"Yellow leaves, Wilting stems, Rusty orange pustules",Wilt,Medium
Rice,Wilting stems,Bacterial Blight,Medium
Maize,Rusty orange pustules,Common Rust,Low
Tomato,"Stunted growth, Leaf curl",Leaf Curl,High
Grapes,"Yellow leaves, White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Groundnut,"Premature fruit drop, Yellow leaves",Rust,Medium
Mango,Premature fruit drop,Anthracnose,High
Mango,Fruit discoloration,Anthracnose,High
Rice,Brown spots on leaves,Brown Spot,High
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,Medium
Maize,"Wilting stems, Yellow leaves, Black lesions",Leaf Blight,High
Tomato,"Leaf curl, Stunted growth, Yellow leaves",Leaf Curl,High
Maize,Brown spots on leaves,Common Rust,Low
Maize,"Black lesions, Yellow leaves, Wilting stems, White powder on leaves",Leaf Blight,Medium
Cotton,Stunted growth,Wilt,Low
Grapes,"Yellow leaves, White powder on leaves",Downy Mildew,Low
Cotton,"Stunted growth, Leaf curl",Wilt,Critical
Grapes,White powder on leaves,Downy Mildew,Critical
Cotton,Yellow leaves,Wilt,Medium
Maize,Black lesions,Leaf Blight,High
Potato,Black lesions,Late Blight,Critical
Maize,Brown spots on leaves,Common Rust,Critical
Grapes,"Stunted growth, White powder on leaves",Powdery Mildew,Critical
Maize,Brown spots on leaves,Common Rust,Medium
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Leaf curl",Rust,Critical
Maize,"Rusty orange pustules, Brown spots on leaves, Water-soaked patches",Common Rust,Critical
Tomato,Brown spots on leaves,Early Blight,High
Wheat,Yellow leaves,Leaf Rust,Critical
Groundnut,Premature fruit drop,Rust,Critical
Cotton,"Water-soaked patches, Black lesions",Bacterial Blight,High
Tomato,"Water-soaked patches, Fruit discoloration, Black lesions, Root rot",Late Blight,Critical
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Critical
Mango,"Fruit discoloration, Black lesions",Anthracnose,Low
Soybean,Yellow leaves,Rust,Medium
Tomato,Brown spots on leaves,Early Blight,Critical
Tomato,Yellow leaves,Leaf Curl,Low
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Low
Grapes,"White powder on leaves, Water-soaked patches",Downy Mildew,Low
Wheat,Stunted growth,Root Rot,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Stunted growth",Rust,Critical
Maize,Wilting stems,Leaf Blight,High
Grapes,Stunted growth,Powdery Mildew,High
Cotton,"Black lesions, Premature fruit drop",Bacterial Blight,Critical
Grapes,White powder on leaves,Powdery Mildew,Critical
Cotton,"Yellow leaves, Wilting stems, Stunted growth",Wilt,Critical
Grapes,"White powder on leaves, Yellow leaves, Premature fruit drop, Rusty orange pustules",Downy Mildew,Critical
Maize,Rusty orange pustules,Common Rust,Medium
Rice,"Yellow leaves, Root rot",Brown Spot,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Cotton,"Yellow leaves, Wilting stems, Stunted growth",Wilt,High
Cotton,"Premature fruit drop, Water-soaked patches",Bacterial Blight,Critical
Rice,Brown spots on leaves,Brown Spot,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,Medium
Banana,"Yellow leaves, Root rot, Wilting stems",Panama Disease,High
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,High
Soybean,"Stunted growth, Root rot",Root Rot,High
Potato,"Stunted growth, Black lesions",Black Scurf,High
Tomato,"Brown spots on leaves, Premature fruit drop, Yellow leaves",Early Blight,Medium
Grapes,"Fruit discoloration, Stunted growth, White powder on leaves",Powdery Mildew,Critical
Sugarcane,"Stunted growth, Wilting stems, Yellow leaves",Red Rot,Medium
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,Medium
Potato,"Water-soaked patches, Black lesions",Late Blight,Medium
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Groundnut,"Premature fruit drop, Brown spots on leaves, Yellow leaves",Leaf Spot,Low
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,Medium
Maize,"Brown spots on leaves, Rusty orange pustules, White powder on leaves",Common Rust,Low
Groundnut,Premature fruit drop,Rust,Low
Groundnut,Rusty orange pustules,Rust,Medium
Groundnut,Premature fruit drop,Leaf Spot,Critical
Sugarcane,"Brown spots on leaves, Rusty orange pustules, Black lesions",Rust,High
Rice,"Water-soaked patches, Yellow leaves, Wilting stems",Bacterial Blight,Medium
Tomato,"Stunted growth, Leaf curl, Water-soaked patches",Leaf Curl,High
Maize,Brown spots on leaves,Common Rust,Critical
Grapes,"Premature fruit drop, Yellow leaves",Downy Mildew,Critical
Cotton,"Black lesions, White powder on leaves",Bacterial Blight,Medium
Tomato,Yellow leaves,Leaf Curl,Low
Cotton,"Premature fruit drop, Black lesions",Bacterial Blight,Low
Mango,"Black lesions, Premature fruit drop, Fruit discoloration",Anthracnose,Critical
Groundnut,Premature fruit drop,Rust,Medium
Tomato,"Yellow leaves, Leaf curl, Stunted growth",Leaf Curl,Low
Banana,"Premature fruit drop, Black lesions, Brown spots on leaves",Black Sigatoka,Low
Soybean,"Rusty orange pustules, Premature fruit drop",Rust,Medium
Potato,Stunted growth,Black Scurf,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Low
Rice,Black lesions,Blast,Critical
Maize,Rusty orange pustules,Common Rust,Medium
Groundnut,"Premature fruit drop, Rusty orange pustules, Wilting stems",Rust,Low
Potato,"Yellow leaves, Brown spots on leaves, Wilting stems",Early Blight,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,High
Grapes,"Fruit discoloration, White powder on leaves, Leaf curl",Powdery Mildew,Critical
Potato,"Yellow leaves, Brown spots on leaves, Wilting stems",Early Blight,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Mango,"Premature fruit drop, Black lesions, Fruit discoloration",Anthracnose,Low
Sugarcane,Rusty orange pustules,Rust,High
Rice,"Brown spots on leaves, Black lesions, Stunted growth",Blast,Low
Sugarcane,"Yellow leaves, Stunted growth, Water-soaked patches",Red Rot,Low
Rice,Brown spots on leaves,Blast,Critical
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,High
Rice,Brown spots on leaves,Blast,Critical
Tomato,"Yellow leaves, Premature fruit drop, Fruit discoloration",Early Blight,Critical
Cotton,"Premature fruit drop, Water-soaked patches, Root rot",Bacterial Blight,Low
Soybean,Premature fruit drop,Rust,High
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,Low
Tomato,"Fruit discoloration, Black lesions",Late Blight,High
Grapes,Yellow leaves,Downy Mildew,Medium
Rice,"Yellow leaves, Wilting stems",Bacterial Blight,High
Grapes,White powder on leaves,Powdery Mildew,Critical
Wheat,"Rusty orange pustules, Root rot",Leaf Rust,Medium
Groundnut,"Yellow leaves, Brown spots on leaves, Premature fruit drop, White powder on leaves",Leaf Spot,Critical
Groundnut,"Brown spots on leaves, Premature fruit drop",Leaf Spot,Critical
Mango,White powder on leaves,Powdery Mildew,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Medium
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,High
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,High
Soybean,"Stunted growth, Wilting stems, Root rot",Root Rot,Critical
Rice,Black lesions,Blast,Low
Banana,Wilting stems,Panama Disease,Medium
Potato,"Black lesions, Stunted growth",Black Scurf,High
Tomato,Stunted growth,Leaf Curl,Low
Mango,"Premature fruit drop, Fruit discoloration, Black lesions",Anthracnose,High
Grapes,"Fruit discoloration, Stunted growth",Powdery Mildew,High
Soybean,Premature fruit drop,Rust,Critical
Tomato,"Yellow leaves, Stunted growth, Leaf curl",Leaf Curl,Medium
Potato,Brown spots on leaves,Early Blight,Medium
Grapes,"White powder on leaves, Fruit discoloration",Powdery Mildew,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Medium
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,High
Wheat,"Yellow leaves, Root rot",Root Rot,Low
Soybean,"Premature fruit drop, Yellow leaves, Black lesions",Rust,Medium
Banana,"Brown spots on leaves, Premature fruit drop",Black Sigatoka,Critical
Soybean,Premature fruit drop,Rust,Medium
Banana,Root rot,Panama Disease,Critical
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Soybean,"Root rot, Wilting stems",Root Rot,Medium
Cotton,Water-soaked patches,Bacterial Blight,Low
Banana,Root rot,Panama Disease,Medium
Banana,Black lesions,Black Sigatoka,Critical
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,High
Rice,Brown spots on leaves,Brown Spot,High
Soybean,"Rusty orange pustules, Yellow leaves, Premature fruit drop",Rust,Critical
Sugarcane,Brown spots on leaves,Rust,Low
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Low
Potato,"Black lesions, Stunted growth",Black Scurf,Critical
Sugarcane,Brown spots on leaves,Rust,Medium
Maize,"Wilting stems, Black lesions, Yellow leaves",Leaf Blight,High
Rice,"Black lesions, Brown spots on leaves, Stunted growth, Premature fruit drop",Blast,Low
Potato,"Wilting stems, Black lesions, Water-soaked patches",Late Blight,Medium
Maize,Brown spots on leaves,Common Rust,Medium
Banana,"Wilting stems, Yellow leaves, Root rot",Panama Disease,High
Wheat,"Yellow leaves, White powder on leaves, Stunted growth",Powdery Mildew,Low
Potato,Black lesions,Black Scurf,Critical
Cotton,"Stunted growth, Wilting stems, Yellow leaves",Wilt,Critical
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,Critical
Potato,Yellow leaves,Early Blight,Critical
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Low
Potato,"Water-soaked patches, Black lesions, Wilting stems",Late Blight,Low
Soybean,"Premature fruit drop, Yellow leaves, Rusty orange pustules",Rust,High
Soybean,"Root rot, Wilting stems, Stunted growth",Root Rot,High
Maize,"Yellow leaves, Black lesions, Wilting stems",Leaf Blight,Low
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Medium
Mango,"Premature fruit drop, Fruit discoloration, Black lesions, Water-soaked patches",Anthracnose,Medium
Wheat,"Rusty orange pustules, Yellow leaves",Leaf Rust,High
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,High
Wheat,"Yellow leaves, Stunted growth, Root rot",Root Rot,Medium
Sugarcane,"Rusty orange pustules, Brown spots on leaves",Rust,Medium
Soybean,"Wilting stems, Stunted growth",Root Rot,Low
Soybean,"Rusty orange pustules, Premature fruit drop, Black lesions",Rust,Medium
Maize,Brown spots on leaves,Common Rust,Low
Banana,"Wilting stems, Yellow leaves",Panama Disease,Critical
Groundnut,"Brown spots on leaves, Yellow leaves, Premature fruit drop",Leaf Spot,Medium
Mango,Premature fruit drop,Anthracnose,Medium
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Low
Grapes,Yellow leaves,Downy Mildew,Critical
Groundnut,Yellow leaves,Leaf Spot,Medium
Mango,Fruit discoloration,Powdery Mildew,Low
Tomato,"Water-soaked patches, Fruit discoloration, Premature fruit drop",Late Blight,Critical
Maize,Brown spots on leaves,Common Rust,Low
Soybean,Yellow leaves,Rust,Low
Banana,"Brown spots on leaves, Premature fruit drop, Black lesions",Black Sigatoka,Critical
Tomato,"Black lesions, Water-soaked patches",Late Blight,High
Groundnut,Yellow leaves,Leaf Spot,Critical
Potato,Wilting stems,Late Blight,Low
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,High
Sugarcane,Rusty orange pustules,Rust,High
Potato,"Stunted growth, Black lesions",Black Scurf,Critical
Tomato,"Fruit discoloration, Black lesions, Water-soaked patches",Late Blight,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Low
Grapes,"Stunted growth, White powder on leaves, Water-soaked patches",Powdery Mildew,Critical
Cotton,Black lesions,Bacterial Blight,Low
Wheat,"Yellow leaves, White powder on leaves, Stunted growth",Powdery Mildew,High
Wheat,Yellow leaves,Root Rot,Critical
Mango,White powder on leaves,Powdery Mildew,Critical
Rice,"Brown spots on leaves, Yellow leaves",Brown Spot,Medium
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,Medium
Soybean,"Premature fruit drop, Rusty orange pustules, Yellow leaves",Rust,High
Cotton,Stunted growth,Wilt,Critical
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,Low
Soybean,"Root rot, Wilting stems",Root Rot,High
Grapes,"Premature fruit drop, White powder on leaves",Downy Mildew,High
Groundnut,"Premature fruit drop, Brown spots on leaves",Rust,Critical
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,High
Soybean,"Yellow leaves, Rusty orange pustules, Premature fruit drop, Root rot",Rust,Low
Soybean,"Yellow leaves, Premature fruit drop",Rust,High
Maize,"Rusty orange pustules, Brown spots on leaves",Common Rust,High
Tomato,Brown spots on leaves,Early Blight,High
Maize,Rusty orange pustules,Common Rust,Critical
Mango,"Black lesions, Fruit discoloration, Premature fruit drop",Anthracnose,Critical
Mango,"White powder on leaves, Fruit discoloration",Powdery Mildew,Medium
Rice,"Stunted growth, Black lesions",Blast,Critical
Banana,"Yellow leaves, Wilting stems",Panama Disease,Low
Rice,Stunted growth,Blast,High
Cotton,Stunted growth,Wilt,High
Groundnut,"Rusty orange pustules, Premature fruit drop",Rust,Critical
Grapes,"White powder on leaves, Premature fruit drop",Downy Mildew,Medium
Mango,Premature fruit drop,Anthracnose,Medium
Soybean,"Root rot, Stunted growth",Root Rot,Medium
Groundnut,Yellow leaves,Leaf Spot,High
Groundnut,"Rusty orange pustules, Premature fruit drop, Wilting stems",Rust,Low
Tomato,"Fruit discoloration, Water-soaked patches",Late Blight,High
Potato,"Yellow leaves, Brown spots on leaves, White powder on leaves",Early Blight,High
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,Critical
Grapes,White powder on leaves,Downy Mildew,Critical
Banana,Root rot,Panama Disease,High
Sugarcane,Rusty orange pustules,Rust,Medium
Cotton,"Yellow leaves, Stunted growth, Wilting stems",Wilt,Critical
Cotton,"Wilting stems, Stunted growth",Wilt,Medium
Grapes,"Fruit discoloration, White powder on leaves, Stunted growth",Powdery Mildew,Low
Wheat,"White powder on leaves, Yellow leaves",Powdery Mildew,Low
Wheat,Rusty orange pustules,Leaf Rust,Critical
Potato,Wilting stems,Late Blight,Medium
Maize,Rusty orange pustules,Common Rust,High
Groundnut,"Premature fruit drop, Rusty orange pustules",Rust,Medium
Mango,"Fruit discoloration, White powder on leaves",Powdery Mildew,Medium
Wheat,"Yellow leaves, Rusty orange pustules",Leaf Rust,High
Rice,Yellow leaves,Brown Spot,Low
Grapes,"White powder on leaves, Yellow leaves",Downy Mildew,High
Mango,Premature fruit drop,Anthracnose,Critical
Soybean,"Root rot, Stunted growth",Root Rot,Critical
Sugarcane,"Wilting stems, Yellow leaves",Red Rot,High
Potato,"Stunted growth, Black lesions",Black Scurf,Medium
Maize,Yellow leaves,Leaf Blight,Critical
Potato,"Black lesions, Stunted growth, Yellow leaves",Black Scurf,Low
Maize,"Brown spots on leaves, Rusty orange pustules",Common Rust,Low
Tomato,Brown spots on leaves,Early Blight,High
Sugarcane,"Brown spots on leaves, Rusty orange pustules",Rust,Low
Cotton,Water-soaked patches,Bacterial Blight,Critical
Wheat,"Root rot, Yellow leaves",Root Rot,High
Sugarcane,Stunted growth,Red Rot,Critical
Tomato,Leaf curl,Leaf Curl,Low
Soybean,"Yellow leaves, Premature fruit drop",Rust,Medium
Banana,"Root rot, Yellow leaves, Wilting stems",Panama Disease,High
Tomato,Fruit discoloration,Late Blight,Low
Tomato,"Stunted growth, Leaf curl",Leaf Curl,High
Mango,"Black lesions, Premature fruit drop",Anthracnose,Critical
Grapes,"White powder on leaves, Stunted growth",Powdery Mildew,Low
Banana,"Black lesions, Premature fruit drop, Brown spots on leaves",Black Sigatoka,Low
Maize,Wilting stems,Leaf Blight,High
Groundnut,Premature fruit drop,Leaf Spot,Medium
Potato,"Wilting stems, Black lesions",Late Blight,Critical
Tomato,Yellow leaves,Leaf Curl,Critical
Potato,Black lesions,Black Scurf,Critical
Potato,"Yellow leaves, Brown spots on leaves",Early Blight,Critical
Grapes,Stunted growth,Powdery Mildew,Medium
